Model Adı,Sıra,Açıklama,Puan
word2vec_stemmed_skipgram_win2_dim100,1,ambient air temperatur sensor open circuit short c...,
word2vec_stemmed_skipgram_win2_dim100,2,adblu pressur sensor short circuit posit open circ...,
word2vec_stemmed_skipgram_win2_dim100,3,adblu temperatur sensor open circuit short circuit...,
word2vec_stemmed_skipgram_win2_dim100,4,nox sensor short circuit ground...,
word2vec_stemmed_skipgram_win2_dim100,5,air humid sensor short circuit posit open circuit...,
word2vec_stemmed_skipgram_win2_dim300,1,ambient air temperatur sensor open circuit short c...,
word2vec_stemmed_skipgram_win2_dim300,2,adblu pressur sensor short circuit posit open circ...,
word2vec_stemmed_skipgram_win2_dim300,3,adblu temperatur sensor open circuit short circuit...,
word2vec_stemmed_skipgram_win2_dim300,4,nox sensor short circuit ground...,
word2vec_stemmed_skipgram_win2_dim300,5,transmiss input speed sensor open circuit short ci...,
word2vec_stemmed_skipgram_win4_dim100,1,nox sensor short circuit ground...,
word2vec_stemmed_skipgram_win4_dim100,2,adblu pressur sensor short circuit posit open circ...,
word2vec_stemmed_skipgram_win4_dim100,3,air humid sensor short circuit posit open circuit...,
word2vec_stemmed_skipgram_win4_dim100,4,ambient air temperatur sensor open circuit short c...,
word2vec_stemmed_skipgram_win4_dim100,5,adblu temperatur sensor open circuit short circuit...,
word2vec_stemmed_skipgram_win4_dim300,1,adblu pressur sensor short circuit posit open circ...,
word2vec_stemmed_skipgram_win4_dim300,2,nox sensor short circuit ground...,
word2vec_stemmed_skipgram_win4_dim300,3,adblu temperatur sensor open circuit short circuit...,
word2vec_stemmed_skipgram_win4_dim300,4,air humid sensor short circuit posit open circuit...,
word2vec_stemmed_skipgram_win4_dim300,5,ambient air temperatur sensor open circuit short c...,
